3 1 151
6070.9	6155.3	6026.9	6155.3	5373.08	
6226.5	6226.5	6041.8	6070.9	5373.28	
6120.8	6227.7	6078.7	6226.5	5372.78	
6291.2	6331.7	6120.8	6120.8	5372.8	
6359.6	6359.6	6283.9	6291.2	5371.85	
6432.1	6465.4	6335.5	6359.6	5371.68	
6362.4	6460.8	6362.4	6432.1	5371.37	
6337.9	6387.4	6279.7	6362.4	5371.83	
6304.9	6365.2	6268.6	6337.9	5371.84	
6381.9	6442.9	6268.9	6304.9	5371.98	
6385.1	6432.3	6290.3	6381.9	5371.86	
6474.9	6519.2	6381.3	6385.1	5371.49	
6461.4	6512.1	6456.4	6474.9	5371.03	
6530.6	6530.6	6420.4	6461.4	5371.38	
6586.1	6586.1	6483.4	6530.6	5371.15	
6306.2	6374.5	6280.2	6363.9	5371.76	
6280.7	6317.1	6232	6306.2	5372.03	
6134.1	6280.7	6134.1	6280.7	5372.4	
6191.2	6232.1	6123.1	6134.1	5372.61	
6313.3	6342.7	6179.1	6191.2	5372.45	
6270.7	6327.3	6217.5	6313.3	5372.1	
6376.8	6390.5	6264.5	6270.7	5372.01	
6315.2	6378	6274.9	6376.8	5371.82	
6303.3	6334.4	6303.2	6315.2	5371.61	
6212	6309.5	6212	6303.3	5372.02	
6132.2	6220.8	6122.5	6212	5372.49	
6102.2	6137.9	6056.5	6132.2	5372.93	
6220.1	6220.1	6083.9	6102.2	5372.96	
6220.1	6220.1	6220.1	6220.1	5372	
6196.9	6232.2	6182.4	6220.1	5372.21	
6673.1	6691.8	6625.8	6635.2	5370.61	
6639.8	6682.9	6639.8	6673.1	5370.46	
6590.6	6645.3	6590.6	6639.8	5370.59	
6607.9	6612.8	6570.5	6590.6	5370.73	
6571.3	6607.9	6519.6	6607.9	5370.92	
6527.6	6575.5	6527.6	6571.3	5370.78	
6559.3	6559.3	6496.4	6527.6	5371.02	
6588.4	6593.5	6539.9	6559.3	5370.85	
6567.4	6591.4	6522.3	6588.4	5370.9	
6596	6612.3	6562.2	6567.4	5370.75	
6649.3	6649.3	6563.9	6596	5370.86	
6650.2	6692.6	6647.6	6649.3	5370.44	
6703.5	6721.4	6650.2	6650.2	5370.56	
6732.4	6751.3	6696.8	6703.5	5370.4	
6649.9	6734.2	6649.9	6732.4	5370.45	
6461.9	6511.1	6443.7	6469.4	5371.1	
6429.5	6479	6429.5	6462	5371.11	
6479.7	6493.1	6408.4	6429.5	5371.34	
6486.8	6504.5	6466.1	6479.7	5371.02	
6440.6	6508.9	6440.6	6486.8	5371.07	
6449.4	6451.8	6386.2	6440.6	5371.41	
6497.8	6497.8	6440.8	6449.4	5371.19	
6516.2	6516.2	6456.4	6497.8	5371.14	
6462.4	6516.2	6462.4	6516.2	5370.99	
6416.4	6462.4	6416.4	6462.4	5371.16	
6413.3	6419.6	6376.4	6416.4	5371.39	
6417.8	6445.9	6401.9	6413.3	5371.25	
6397.3	6431.7	6394.3	6417.8	5371.25	
6397.3	6397.3	6397.3	6397.3	5371.23	
6397.3	6397.3	6397.3	6397.3	5371.23	
6421.2	6435.3	6397.2	6433.3	5371.28	
6381.8	6421.2	6378.6	6421.2	5371.31	
6353.5	6381.8	6353.5	6381.8	5371.4	
6382.8	6383.1	6344.7	6353.5	5371.52	
6346.4	6395.4	6346.4	6382.8	5371.43	
6369.5	6375	6330.1	6346.4	5371.58	
6346.3	6379.8	6338.2	6369.5	5371.48	
6317.9	6369.7	6317.9	6346.3	5371.55	
6310.9	6328.9	6294.7	6317.9	5371.68	
6282.2	6329	6282.2	6310.9	5371.71	
6203.1	6300.3	6203.1	6282.2	5372.07	
6242	6257.3	6197.5	6203.1	5372.19	
6239.9	6250.1	6212.5	6242	5372.09	
6228	6253.7	6216	6239.9	5372.04	
6269.3	6271.4	6226.4	6228	5372.05	
6090.3	6145.3	6082.8	6131.5	5372.71	
6086.4	6105.7	6068.1	6090.4	5372.82	
6050.4	6097.4	6047.1	6086.4	5372.91	
6021.5	6058.1	6019.4	6050.4	5373.07	
6048.8	6087.4	5985.2	6021.5	5373.38	
6084.4	6108.9	6043.9	6048.9	5373	
6025.9	6098.6	6025.9	6084.4	5373.02	
6050.1	6062.8	6011.8	6025.9	5373.19	
6122.1	6129.5	6050.1	6050.1	5373.03	
6140	6140	6068.1	6122.1	5372.93	
6160.3	6181.7	6115.1	6140	5372.61	
6202.6	6233.1	6146.3	6160.3	5372.47	
6204.5	6228.4	6199.7	6202.6	5372.1	
6192	6218.9	6148.3	6204.5	5372.44	
6254.9	6254.9	6178.9	6192	5372.35	
5930.1	5978.8	5930.1	5971.3	5373.61	
5873.6	5942.2	5872.8	5930.1	5373.98	
5798.3	5879.2	5798.3	5873.6	5374.49	
5822.3	5847	5774.5	5798.3	5374.76	
5896.7	5896.7	5820.4	5822.3	5374.49	
5866.2	5898.1	5848.5	5896.7	5374.18	
5831.8	5880.8	5820.9	5866.2	5374.36	
